ps1,pgonogo,pimage,pimagecode,pTarget,pcorrectKey
stimuli/Orang1.bmp,102,NoGo,11,stimuli/Orang1.bmp,
stimuli/Orang2.bmp,102,NoGo,12,stimuli/Orang2.bmp,
stimuli/Orang3.bmp,102,NoGo,13,stimuli/Orang3.bmp,
stimuli/Bongo1.bmp,101,Go,14,stimuli/Bongo1.bmp,1
stimuli/Cougar2.bmp,101,Go,15,stimuli/Cougar2.bmp,1
stimuli/Kangaroo3.bmp,101,Go,16,stimuli/Kangaroo3.bmp,1
stimuli/Koala3.bmp,101,Go,17,stimuli/Koala3.bmp,1
stimuli/RedPanda19.bmp,101,Go,18,stimuli/RedPanda18.bmp,1
stimuli/Rhino9.bmp,101,Go,19,stimuli/Rhino9.bmp,1
stimuli/SeaLion1.bmp,101,Go,20,stimuli/SeaLion1.bmp,1
stimuli/Lemur6.bmp,101,Go,21,stimuli/Lemur6.bmp,1
stimuli/Giraffe9.bmp,101,Go,22,stimuli/Giraffe9.bmp,1
