s1,gonogo,image,Target,correct
stimuli/Orang1.bmp,102,NoGo,stimuli/Orang1.bmp,
stimuli/Orang1.bmp,102,NoGo,stimuli/Orang1.bmp,
stimuli/Orang1.bmp,102,NoGo,stimuli/Orang1.bmp,
stimuli/Orang1.bmp,102,NoGo,stimuli/Orang1.bmp,
stimuli/Orang2.bmp,102,NoGo,stimuli/Orang2.bmp,
stimuli/Orang2.bmp,102,NoGo,stimuli/Orang2.bmp,
stimuli/Orang2.bmp,102,NoGo,stimuli/Orang2.bmp,
stimuli/Orang3.bmp,102,NoGo,stimuli/Orang3.bmp,
stimuli/Orang3.bmp,102,NoGo,stimuli/Orang3.bmp,
stimuli/Orang3.bmp,102,NoGo,stimuli/Orang3.bmp,
stimuli/Bear9.bmp,101,Go,stimuli/Bear9.bmp,"1,5"
stimuli/Bird9.bmp,101,Go,stimuli/Bird9.bmp,"1,5"
stimuli/Chimp1.bmp,101,Go,stimuli/Chimp1.bmp,"1,5"
stimuli/Creature1.bmp,101,Go,stimuli/Creature1.bmp,"1,5"
stimuli/Deer2.bmp,101,Go,stimuli/Deer2.bmp,"1,5"
stimuli/Elephant6.bmp,101,Go,stimuli/Elephant6.bmp,"1,5"
stimuli/Emu2.bmp,101,Go,stimuli/Emu2.bmp,"1,5"
stimuli/Fox10.bmp,101,Go,stimuli/Fox10.bmp,"1,5"
stimuli/Giraffe8.bmp,101,Go,stimuli/Giraffe8.bmp,"1,5"
stimuli/Guar1.bmp,101,Go,stimuli/Guar1.bmp,"1,5"
stimuli/Heron1.bmp,101,Go,stimuli/Heron1.bmp,"1,5"
stimuli/Iguana5.bmp,101,Go,stimuli/Iguana5.bmp,"1,5"
stimuli/Impala1.bmp,101,Go,stimuli/Impala1.bmp,"1,5"
stimuli/Koala8.bmp,101,Go,stimuli/Koala8.bmp,"1,5"
stimuli/Lion8.bmp,101,Go,stimuli/Lion8.bmp,"1,5"
stimuli/Lynx1.bmp,101,Go,stimuli/Lynx1.bmp,"1,5"
stimuli/Meerkat20.bmp,101,Go,stimuli/Meerkat20.bmp,"1,5"
stimuli/Monkey7.bmp,101,Go,stimuli/Monkey7.bmp,"1,5"
stimuli/Okapi5.bmp,101,Go,stimuli/Okapi5.bmp,"1,5"
stimuli/Panda10.bmp,101,Go,stimuli/Panda10.bmp,"1,5"
stimuli/Parrot10.bmp,101,Go,stimuli/Parrot10.bmp,"1,5"
stimuli/Puma1.bmp,101,Go,stimuli/Puma1.bmp,"1,5"
stimuli/RedPanda20.bmp,101,Go,stimuli/RedPanda20.bmp,"1,5"
stimuli/RedPanda25.bmp,101,Go,stimuli/RedPanda25.bmp,"1,5"
stimuli/Rhino5.bmp,101,Go,stimuli/Rhino5.bmp,"1,5"
stimuli/Squirrel1.bmp,101,Go,stimuli/Squirrel1.bmp,"1,5"
stimuli/Tiger10.bmp,101,Go,stimuli/Tiger10.bmp,"1,5"
stimuli/Kangaroo7.bmp,101,Go,stimuli/Kangaroo7.bmp,"1,5"
stimuli/Meerkat21.bmp,101,Go,stimuli/Meerkat21.bmp,"1,5"
stimuli/Cheetah2.bmp,101,Go,stimuli/Cheetah2.bmp,"1,5"
